gender,dept_name,salary,calendar_year
F,Production,53345.3593,1998
F,Production,54263.0699,1999
F,Production,56190.6498,2000
F,Production,58403.7437,2001
F,Production,60467.8310,2002
M,Development,45764.3161,1990
M,Development,46596.0615,1991
M,Development,47629.3234,1992
M,Development,48628.5065,1993
M,Development,52597.5003,1994
M,Development,53570.3686,1995
M,Development,54600.0261,1996
M,Development,55603.5384,1997
M,Development,54768.8761,1998
M,Development,56026.8542,1999
M,Development,61562.8818,2000
M,Development,63674.0757,2001
M,Development,65813.8985,2002
F,Development,45610.8523,1990
F,Development,46623.2564,1991
F,Development,47389.4210,1992
F,Development,48511.8894,1993
F,Development,49572.4786,1994
F,Development,50397.5476,1995
F,Development,51329.4193,1996
F,Development,52164.6932,1997
F,Development,53232.1700,1998
F,Development,54359.8108,1999
F,Development,56297.6603,2000
F,Development,58424.1763,2001
F,Development,60260.3388,2002
M,"Quality Management",42991.7967,1990
M,"Quality Management",45221.9392,1991
M,"Quality Management",45813.2290,1992
M,"Quality Management",46487.6788,1993
M,"Quality Management",50517.6652,1994
M,"Quality Management",51656.1051,1995
M,"Quality Management",52484.4937,1996
M,"Quality Management",53448.8061,1997
M,"Quality Management",52442.0710,1998
M,"Quality Management",53884.6910,1999
M,"Quality Management",59421.5679,2000
M,"Quality Management",61657.0498,2001
M,"Quality Management",63650.4714,2002
F,"Quality Management",43468.0079,1990
F,"Quality Management",44595.4888,1991
F,"Quality Management",45900.7032,1992
F,"Quality Management",46704.8260,1993
F,"Quality Management",47438.3060,1994
F,"Quality Management",48211.2611,1995
F,"Quality Management",49262.5366,1996
F,"Quality Management",50224.0471,1997
F,"Quality Management",51014.0482,1998
F,"Quality Management",51940.3447,1999
F,"Quality Management",53863.3305,2000
F,"Quality Management",55946.6640,2001
F,"Quality Management",57629.9661,2002
M,Sales,67413.7621,1990
M,Sales,68846.8396,1991
M,Sales,69628.7516,1992
M,Sales,70643.1077,1993
M,Sales,74672.2549,1994
M,Sales,75392.2883,1995
M,Sales,76194.4924,1996
M,Sales,77031.5575,1997
M,Sales,76140.2039,1998
M,Sales,77413.6157,1999
M,Sales,83072.8428,2000
M,Sales,85173.8627,2001
M,Sales,87113.2885,2002
F,Sales,67448.7029,1990
F,Sales,67270.6865,1991
F,Sales,68333.4677,1992
F,Sales,69328.2502,1993
F,Sales,70368.8906,1994
F,Sales,71582.7384,1995
F,Sales,72539.8214,1996
F,Sales,73673.1778,1997
F,Sales,74629.3288,1998
F,Sales,75489.0509,1999
F,Sales,77469.3689,2000
F,Sales,79553.5916,2001
F,Sales,81513.3772,2002
M,Research,46638.3439,1990
M,Research,46843.7884,1991
M,Research,47339.8804,1992
M,Research,48624.6115,1993
M,Research,52723.4781,1994
M,Research,53567.5112,1995
M,Research,54667.7785,1996
M,Research,55841.0014,1997
M,Research,55095.7483,1998
M,Research,56363.1083,1999
M,Research,61922.8925,2000
M,Research,64006.2216,2001
M,Research,66512.2986,2002
F,Research,47005.8843,1990
F,Research,46979.0753,1991
F,Research,47635.9530,1992
F,Research,48588.2925,1993
F,Research,49742.1048,1994
F,Research,50420.7051,1995
F,Research,51633.2233,1996
F,Research,52388.1233,1997
F,Research,53413.4340,1998
F,Research,54685.8919,1999
F,Research,56551.9720,2000
F,Research,58615.6628,2001
F,Research,60821.4992,2002
M,"Customer Service",44414.0571,1990
M,"Customer Service",45559.6111,1991
M,"Customer Service",47072.0314,1992
M,"Customer Service",48258.5547,1993
M,"Customer Service",52224.2645,1994
M,"Customer Service",53229.8759,1995
M,"Customer Service",54163.4754,1996
M,"Customer Service",55053.9414,1997
M,"Customer Service",53932.7255,1998
M,"Customer Service",55340.7370,1999
M,"Customer Service",61004.7810,2000
M,"Customer Service",63213.5293,2001
M,"Customer Service",66075.1603,2002
F,"Customer Service",44814.2897,1990
F,"Customer Service",45064.9233,1991
F,"Customer Service",46912.4065,1992
F,"Customer Service",48566.8300,1993
F,"Customer Service",49391.6471,1994
F,"Customer Service",50205.5149,1995
F,"Customer Service",51306.1376,1996
F,"Customer Service",52383.7397,1997
F,"Customer Service",53280.8301,1998
F,"Customer Service",54233.4243,1999
F,"Customer Service",56243.4788,2000
F,"Customer Service",58277.6380,2001
F,"Customer Service",60588.5489,2002
